System,Package,Class,Name, COMP, NOS, HLTH, HVOC, HEFF, HBUG, CREF, XMET, LMET, NLOC, NOA, MOD, HDIF, LOOP, EXCR, MDN, VDEC, NOPR, EXCT, VREF, CAST, TDN, HVOL, NAND
"No System Name","com.kpelykh.docker.client.model","BoundHostVolumes","BoundHostVolumes",3,12,109,40,11153.55,0.19,4,5,0,13,1,1,19.23,1,0,2,3,62,0,17,0,3,580.09,47
"No System Name","com.kpelykh.docker.client.model","CommitConfig","CommitConfig",1,2,12,10,179.38,0.01,1,0,0,3,1,1,4.50,0,0,0,0,6,0,2,0,0,39.86,6
"No System Name","com.kpelykh.docker.client","Config","Config",1,1,4,4,12.00,0.00,0,0,0,2,0,1,1.50,0,0,0,0,3,0,0,0,0,8.00,1
"No System Name","com.kpelykh.docker.client.model","CopyConfig","CopyConfig",1,2,8,8,60.00,0.01,0,0,0,3,0,1,2.50,0,0,0,0,5,0,1,0,0,24.00,3
"No System Name","com.kpelykh.docker.client","DockerClient","DockerClient",1,2,13,11,134.92,0.01,1,1,1,3,0,1,3.00,0,0,0,0,8,0,0,0,0,44.97,5
"No System Name","com.kpelykh.docker.client","DockerClient","DockerClient",1,14,128,47,4448.23,0.24,14,17,0,15,1,1,6.26,0,0,0,4,67,0,19,0,0,710.99,61
"No System Name","com.kpelykh.docker.client","DockerClient","DockerClient",1,2,14,11,141.26,0.02,1,0,2,3,1,1,2.92,0,0,0,0,7,0,1,0,0,48.43,7
"No System Name","com.kpelykh.docker.client","DockerException","DockerException",1,1,4,4,12.00,0.00,0,0,0,2,0,1,1.50,0,0,0,0,3,0,0,0,0,8.00,1
"No System Name","com.kpelykh.docker.client","DockerException","DockerException",1,2,10,8,75.00,0.01,1,0,0,3,1,1,2.50,0,0,0,0,5,0,1,0,0,30.00,5
"No System Name","com.kpelykh.docker.client","DockerException","DockerException",1,2,13,10,115.16,0.01,2,0,0,3,2,1,2.67,0,0,0,0,5,0,2,0,0,43.19,8
"No System Name","com.kpelykh.docker.client","DockerException","DockerException",1,2,10,8,75.00,0.01,1,0,0,3,1,1,2.50,0,0,0,0,5,0,1,0,0,30.00,5
"No System Name","com.kpelykh.docker.client.model","HostConfig","HostConfig",1,2,10,10,99.66,0.01,0,0,0,3,0,1,3.00,0,0,0,0,6,0,1,0,0,33.22,4
"No System Name","com.kpelykh.docker.client.model","HostConfig$LxcConf","LxcConf",1,1,4,4,12.00,0.00,0,0,0,2,0,1,1.50,0,0,0,0,3,0,0,0,0,8.00,1
"No System Name","com.kpelykh.docker.client.model","HostConfig$LxcConf","LxcConf",1,3,20,11,456.64,0.02,1,0,0,4,2,1,6.60,0,0,0,0,9,0,4,0,0,69.19,11
"No System Name","com.kpelykh.docker.client","NotFoundException","NotFoundException",1,2,10,8,75.00,0.01,1,0,0,3,1,1,2.50,0,0,0,0,5,0,1,0,0,30.00,5
"No System Name","com.kpelykh.docker.client.model","Ports$Port","Port",1,5,28,15,464.92,0.04,1,0,0,6,4,1,4.25,0,0,0,0,11,0,8,0,0,109.39,17
"No System Name","com.kpelykh.docker.client.model","Ports","Ports",1,1,4,4,12.00,0.00,0,0,0,1,0,1,1.50,0,0,0,0,3,0,0,0,0,8.00,1
"No System Name","com.google.common.base","Preconditions","Preconditions",1,1,4,4,12.00,0.00,0,0,0,1,0,1,1.50,0,0,0,0,3,0,0,0,0,8.00,1
"No System Name","com.kpelykh.docker.client.model","Ports","addPort",1,2,17,12,195.89,0.02,1,2,0,3,1,1,3.21,0,0,0,0,8,0,3,0,0,60.94,9
"No System Name","com.kpelykh.docker.client.test","AbstractDockerClientTest","afterMethod",5,18,83,31,3280.24,0.14,3,6,0,21,1,1,7.98,2,1,2,0,44,0,16,0,6,411.20,39
"No System Name","com.kpelykh.docker.client.test","DockerClientAuthTest","afterMethod",1,2,15,12,215.10,0.02,1,0,1,3,1,2,4.00,0,0,0,0,7,0,1,0,0,53.77,8
"No System Name","com.kpelykh.docker.client.test","DockerClientTest","afterMethod",1,2,15,12,215.10,0.02,1,0,1,3,1,2,4.00,0,0,0,0,7,0,1,0,0,53.77,8
"No System Name","com.kpelykh.docker.client.test","DockerPushTest","afterMethod",1,2,15,12,215.10,0.02,1,0,1,3,1,2,4.00,0,0,0,0,7,0,1,0,0,53.77,8
"No System Name","com.kpelykh.docker.client.test","AbstractDockerClientTest","afterTest",1,2,11,10,91.35,0.01,0,1,0,3,0,1,2.50,0,0,0,0,6,0,1,0,0,36.54,5
"No System Name","com.kpelykh.docker.client.test","DockerClientAuthTest","afterTest",1,2,12,10,149.49,0.01,0,0,1,3,0,2,3.75,0,0,0,0,7,0,0,0,0,39.86,5
"No System Name","com.kpelykh.docker.client.test","DockerClientTest","afterTest",1,2,12,10,149.49,0.01,0,0,1,3,0,2,3.75,0,0,0,0,7,0,0,0,0,39.86,5
"No System Name","com.kpelykh.docker.client.test","DockerPushTest","afterTest",1,2,12,10,149.49,0.01,0,0,1,3,0,2,3.75,0,0,0,0,7,0,0,0,0,39.86,5
"No System Name","com.kpelykh.docker.client.utils","CompressArchiveUtil","archiveTARFiles",3,17,112,46,11318.80,0.21,8,12,1,19,3,2,18.30,1,0,3,3,60,1,17,0,4,618.64,52
"No System Name","com.kpelykh.docker.client.model","BoundHostVolumes","asBinds",1,2,9,9,85.59,0.01,1,0,0,3,0,1,3.00,0,0,0,0,6,0,1,0,0,28.53,3
"No System Name","com.kpelykh.docker.client","DockerClient","asString",2,9,78,37,5108.24,0.14,6,7,1,14,1,2,12.57,1,0,2,3,45,1,8,0,3,406.34,33
"No System Name","com.kpelykh.docker.client","DockerClient","auth",2,4,46,27,1503.73,0.07,3,2,1,10,0,1,6.88,0,1,1,0,26,1,5,0,2,218.72,20
"No System Name","com.kpelykh.docker.client","DockerClient","authConfig",1,2,17,14,407.77,0.02,2,0,1,5,0,1,6.30,0,0,0,0,10,1,2,0,0,64.73,7
"No System Name","com.kpelykh.docker.client","DockerClient","authConfigFromProperties",4,12,97,34,6390.62,0.16,4,9,0,10,0,2,12.95,0,0,1,1,60,1,10,0,3,493.48,37
"No System Name","com.kpelykh.docker.client.test","DockerClientTest","available",6,17,106,38,11960.03,0.19,4,7,0,26,1,2,21.50,0,1,3,2,63,0,13,0,8,556.28,43
"No System Name","com.google.common.base","Preconditions","badElementIndex",3,6,50,24,2750.98,0.08,2,1,1,9,3,2,12.00,0,0,1,0,26,0,8,0,3,229.25,24
"No System Name","com.google.common.base","Preconditions","badPositionIndex",3,6,50,24,2750.98,0.08,2,1,1,10,3,2,12.00,0,0,1,0,26,0,8,0,3,229.25,24
"No System Name","com.google.common.base","Preconditions","badPositionIndexes",3,6,53,22,2757.42,0.08,1,0,2,10,3,2,11.67,0,0,1,0,25,0,12,0,2,236.35,28
"No System Name","com.kpelykh.docker.client.test","AbstractDockerClientTest","beforeMethod",1,4,39,22,1023.44,0.06,3,3,0,7,1,1,5.88,0,0,0,0,22,0,4,0,0,173.92,17
"No System Name","com.kpelykh.docker.client.test","DockerClientAuthTest","beforeMethod",1,2,15,12,215.10,0.02,1,0,1,3,1,2,4.00,0,0,0,0,7,0,1,0,0,53.77,8
"No System Name","com.kpelykh.docker.client.test","DockerClientTest","beforeMethod",1,2,15,12,215.10,0.02,1,0,1,3,1,2,4.00,0,0,0,0,7,0,1,0,0,53.77,8
"No System Name","com.kpelykh.docker.client.test","DockerPushTest","beforeMethod",1,2,15,12,215.10,0.02,1,0,1,3,1,2,4.00,0,0,0,0,7,0,1,0,0,53.77,8
"No System Name","com.kpelykh.docker.client.test","AbstractDockerClientTest","beforeTest",1,9,62,30,2020.94,0.10,4,4,2,10,0,1,6.64,0,0,0,1,31,1,9,0,0,304.23,31
"No System Name","com.kpelykh.docker.client.test","DockerClientAuthTest","beforeTest",1,2,14,12,210.80,0.02,1,0,1,3,0,2,4.20,0,0,0,0,8,1,0,0,0,50.19,6
"No System Name","com.kpelykh.docker.client.test","DockerClientTest","beforeTest",1,2,14,12,210.80,0.02,1,0,1,3,0,2,4.20,0,0,0,0,8,1,0,0,0,50.19,6
"No System Name","com.kpelykh.docker.client.test","DockerPushTest","beforeTest",1,3,24,17,436.00,0.03,1,2,1,4,0,2,4.44,0,0,0,0,14,1,2,0,0,98.10,10
"No System Name","com.kpelykh.docker.client.model","IBuilder","build",1,1,10,9,126.80,0.01,1,0,0,1,0,0,4.00,0,0,0,0,6,0,0,0,0,31.70,4
"No System Name","com.kpelykh.docker.client","DockerClient","build",1,2,17,14,291.26,0.02,3,0,1,3,1,1,4.50,0,0,0,0,8,1,1,0,0,64.73,9
"No System Name","com.kpelykh.docker.client","DockerClient","build",1,2,20,16,373.33,0.03,4,0,1,3,2,1,4.67,0,0,0,0,8,1,2,0,0,80.00,12
"No System Name","com.kpelykh.docker.client","DockerClient","build",14,48,430,120,80094.21,0.99,18,32,1,68,3,1,26.97,1,2,5,10,235,1,56,0,19,2969.96,195
"No System Name","com.google.common.base","Preconditions","checkArgument",2,3,18,14,370.07,0.02,1,1,0,5,1,2,5.40,0,0,1,0,12,0,1,0,1,68.53,6
"No System Name","com.google.common.base","Preconditions","checkArgument",2,3,25,19,648.99,0.04,3,2,0,6,2,2,6.11,0,0,1,0,14,0,2,0,1,106.20,11
"No System Name","com.google.common.base","Preconditions","checkArgument",2,3,27,20,758.50,0.04,3,1,1,8,3,2,6.50,0,0,1,0,14,0,3,0,1,116.69,13
"No System Name","com.google.common.base","Preconditions","checkElementIndex",1,2,17,11,352.86,0.02,0,0,1,3,2,2,6.00,0,0,0,0,7,0,2,0,0,58.81,10
"No System Name","com.google.common.base","Preconditions","checkElementIndex",2,4,35,21,1844.77,0.05,2,1,1,7,3,2,12.00,0,0,1,0,17,0,7,0,1,153.73,18
"No System Name","com.google.common.base","Preconditions","checkNotNull",2,4,25,17,1103.61,0.03,2,1,0,6,1,2,10.80,0,0,1,0,16,0,2,0,1,102.19,9
"No System Name","com.google.common.base","Preconditions","checkNotNull",2,4,32,22,1442.87,0.05,4,2,0,6,2,2,10.11,0,0,1,0,18,0,3,0,1,142.70,14
"No System Name","com.google.common.base","Preconditions","checkNotNull",2,4,34,23,1599.53,0.05,4,1,1,9,3,2,10.40,0,0,1,0,18,0,4,0,1,153.80,16
"No System Name","com.google.common.base","Preconditions","checkPositionIndex",1,2,17,11,352.86,0.02,0,0,1,3,2,2,6.00,0,0,0,0,7,0,2,0,0,58.81,10
"No System Name","com.google.common.base","Preconditions","checkPositionIndex",2,4,35,21,1844.77,0.05,2,1,1,7,3,2,12.00,0,0,1,0,17,0,7,0,1,153.73,18
"No System Name","com.google.common.base","Preconditions","checkPositionIndexes",2,3,36,20,1806.57,0.05,1,1,1,5,3,2,11.61,0,0,1,0,17,0,8,0,1,155.59,19
"No System Name","com.google.common.base","Preconditions","checkState",2,3,18,14,370.07,0.02,1,1,0,5,1,2,5.40,0,0,1,0,12,0,1,0,1,68.53,6
"No System Name","com.google.common.base","Preconditions","checkState",2,3,25,19,648.99,0.04,3,2,0,6,2,2,6.11,0,0,1,0,14,0,2,0,1,106.20,11
"No System Name","com.google.common.base","Preconditions","checkState",2,3,27,20,758.50,0.04,3,1,1,8,3,2,6.50,0,0,1,0,14,0,3,0,1,116.69,13
"No System Name","com.kpelykh.docker.client","DockerClient","commit",5,20,211,72,22168.37,0.43,12,21,0,26,1,1,17.03,0,2,2,3,116,2,27,0,6,1301.85,95
"No System Name","com.kpelykh.docker.client.test","DockerClientTest","commitImage",1,18,179,54,10184.19,0.34,6,16,6,25,0,2,9.89,0,0,0,5,92,1,27,0,0,1030.12,87
"No System Name","com.kpelykh.docker.client","DockerClient","configWithServerUrl",1,4,32,20,1037.26,0.05,4,2,0,5,1,2,7.50,0,0,0,1,17,1,4,0,0,138.30,15
"No System Name","com.kpelykh.docker.client","DockerClient","containerDiff",4,10,116,48,9329.12,0.22,9,10,0,16,1,1,14.40,0,1,2,1,68,2,12,0,5,647.86,48
"No System Name","com.kpelykh.docker.client","DockerClient","copyFile",5,15,158,54,13995.42,0.30,9,13,0,22,2,1,15.39,0,1,2,3,91,1,17,0,6,909.27,67
"No System Name","com.kpelykh.docker.client","Config","createConfig",6,27,211,66,25230.09,0.43,10,16,0,34,0,1,19.78,1,1,3,5,120,1,29,0,9,1275.37,91
"No System Name","com.kpelykh.docker.client","DockerClient","createContainer",1,2,15,12,215.10,0.02,3,0,1,3,1,1,4.00,0,0,0,0,7,1,1,0,0,53.77,8
"No System Name","com.kpelykh.docker.client","DockerClient","createContainer",6,15,160,61,15738.15,0.32,11,12,0,23,2,1,16.59,0,1,2,2,92,2,18,0,7,948.92,68
"No System Name","com.kpelykh.docker.client.model","Ports$Deserializer","deserialize",3,14,148,55,11230.29,0.29,12,15,0,14,2,2,13.12,1,0,2,7,78,2,14,0,2,855.64,70
"No System Name","com.kpelykh.docker.client.test","DockerClientTest","dockerfileBuild",2,24,209,68,15336.75,0.42,11,20,5,33,2,1,12.05,1,0,2,9,107,2,31,0,3,1272.28,102
"No System Name","com.google.common.base","Preconditions","format",5,21,166,44,26861.71,0.30,3,7,0,27,2,1,29.64,2,0,2,4,88,0,39,0,4,906.27,78
"No System Name","com.kpelykh.docker.client.model","Ports","getAllPorts",1,2,12,12,150.57,0.01,3,0,0,3,0,1,3.50,0,0,0,0,7,0,1,0,0,43.02,5
"No System Name","com.kpelykh.docker.client.model","Version","getApiVersion",1,2,8,8,60.00,0.01,1,0,0,3,0,1,2.50,0,0,0,0,5,0,1,0,0,24.00,3
"No System Name","com.kpelykh.docker.client.model","ImageInspectResponse","getArch",1,2,8,8,60.00,0.01,1,0,0,3,0,1,2.50,0,0,0,0,5,0,1,0,0,24.00,3
"No System Name","com.kpelykh.docker.client.model","Version","getArch",1,2,8,8,60.00,0.01,1,0,0,3,0,1,2.50,0,0,0,0,5,0,1,0,0,24.00,3
"No System Name","com.kpelykh.docker.client.model","ContainerInspectResponse","getArgs",1,2,9,9,85.59,0.01,1,0,0,3,0,1,3.00,0,0,0,0,6,0,1,0,0,28.53,3
"No System Name","com.kpelykh.docker.client.model","CommitConfig","getAuthor",1,2,8,8,60.00,0.01,1,0,0,3,0,1,2.50,0,0,0,0,5,0,1,0,0,24.00,3
"No System Name","com.kpelykh.docker.client.model","ImageInspectResponse","getAuthor",1,2,8,8,60.00,0.01,1,0,0,3,0,1,2.50,0,0,0,0,5,0,1,0,0,24.00,3
"No System Name","com.kpelykh.docker.client.model","HostConfig","getBinds",1,2,9,9,85.59,0.01,1,0,0,3,0,1,3.00,0,0,0,0,6,0,1,0,0,28.53,3
"No System Name","com.kpelykh.docker.client.model","ContainerConfig","getCmd",1,2,9,9,85.59,0.01,1,0,0,3,0,1,3.00,0,0,0,0,6,0,1,0,0,28.53,3
"No System Name","com.kpelykh.docker.client.model","Container","getCommand",1,2,8,8,60.00,0.01,1,0,0,3,0,1,2.50,0,0,0,0,5,0,1,0,0,24.00,3
"No System Name","com.kpelykh.docker.client.model","ImageInspectResponse","getComment",1,2,8,8,60.00,0.01,1,0,0,3,0,1,2.50,0,0,0,0,5,0,1,0,0,24.00,3
"No System Name","com.kpelykh.docker.client.model","ContainerInspectResponse","getConfig",1,2,8,8,60.00,0.01,1,0,0,3,0,1,2.50,0,0,0,0,5,0,1,0,0,24.00,3
"No System Name","com.kpelykh.docker.client.model","ImageInspectResponse","getConfig",1,2,8,8,60.00,0.01,1,0,0,3,0,1,2.50,0,0,0,0,5,0,1,0,0,24.00,3
"No System Name","com.kpelykh.docker.client.model","CommitConfig","getContainer",1,2,8,8,60.00,0.01,1,0,0,3,0,1,2.50,0,0,0,0,5,0,1,0,0,24.00,3
"No System Name","com.kpelykh.docker.client.model","ImageInspectResponse","getContainer",1,2,8,8,60.00,0.01,1,0,0,3,0,1,2.50,0,0,0,0,5,0,1,0,0,24.00,3
"No System Name","com.kpelykh.docker.client.model","ImageInspectResponse","getContainerConfig",1,2,8,8,60.00,0.01,1,0,0,3,0,1,2.50,0,0,0,0,5,0,1,0,0,24.00,3
"No System Name","com.kpelykh.docker.client.model","HostConfig","getContainerIDFile",1,2,8,8,60.00,0.01,1,0,0,3,0,1,2.50,0,0,0,0,5,0,1,0,0,24.00,3
"No System Name","com.kpelykh.docker.client.model","Info","getContainers",1,2,8,8,60.00,0.01,0,0,0,3,0,1,2.50,0,0,0,0,5,0,1,0,0,24.00,3
"No System Name","com.kpelykh.docker.client.model","ContainerConfig","getCpuShares",1,2,8,8,60.00,0.01,0,0,0,3,0,1,2.50,0,0,0,0,5,0,1,0,0,24.00,3
"No System Name","com.kpelykh.docker.client.model","Container","getCreated",1,2,8,8,60.00,0.01,0,0,0,3,0,1,2.50,0,0,0,0,5,0,1,0,0,24.00,3
"No System Name","com.kpelykh.docker.client.model","ContainerInspectResponse","getCreated",1,2,8,8,60.00,0.01,1,0,0,3,0,1,2.50,0,0,0,0,5,0,1,0,0,24.00,3
"No System Name","com.kpelykh.docker.client.model","Image","getCreated",1,2,8,8,60.00,0.01,0,0,0,3,0,1,2.50,0,0,0,0,5,0,1,0,0,24.00,3
"No System Name","com.kpelykh.docker.client.model","ImageInspectResponse","getCreated",1,2,8,8,60.00,0.01,1,0,0,3,0,1,2.50,0,0,0,0,5,0,1,0,0,24.00,3
"No System Name","com.kpelykh.docker.client.model","SearchItem","getDescription",1,2,8,8,60.00,0.01,1,0,0,3,0,1,2.50,0,0,0,0,5,0,1,0,0,24.00,3
"No System Name","com.kpelykh.docker.client.model","DriverStatus","getDirs",1,2,8,8,60.00,0.01,0,0,0,3,0,1,2.50,0,0,0,0,5,0,1,0,0,24.00,3
"No System Name","com.kpelykh.docker.client.model","ContainerConfig","getDns",1,2,9,9,85.59,0.01,1,0,0,3,0,1,3.00,0,0,0,0,6,0,1,0,0,28.53,3
"No System Name","com.kpelykh.docker.client.model","HostConfig","getDns",1,2,8,8,60.00,0.01,1,0,0,3,0,1,2.50,0,0,0,0,5,0,1,0,0,24.00,3
"No System Name","com.kpelykh.docker.client.model","HostConfig","getDnsSearch",1,2,8,8,60.00,0.01,1,0,0,3,0,1,2.50,0,0,0,0,5,0,1,0,0,24.00,3
"No System Name","com.kpelykh.docker.client.model","ImageInspectResponse","getDockerVersion",1,2,8,8,60.00,0.01,1,0,0,3,0,1,2.50,0,0,0,0,5,0,1,0,0,24.00,3
"No System Name","com.kpelykh.docker.client.model","ContainerConfig","getDomainName",1,2,8,8,60.00,0.01,1,0,0,3,0,1,2.50,0,0,0,0,5,0,1,0,0,24.00,3
"No System Name","com.kpelykh.docker.client.model","ContainerInspectResponse","getDriver",1,2,8,8,60.00,0.01,1,0,0,3,0,1,2.50,0,0,0,0,5,0,1,0,0,24.00,3
"No System Name","com.kpelykh.docker.client.model","Info","getDriver",1,2,8,8,60.00,0.01,1,0,0,3,0,1,2.50,0,0,0,0,5,0,1,0,0,24.00,3
"No System Name","com.kpelykh.docker.client.model","Info","getDriverStatuses",1,2,11,11,133.19,0.01,2,0,0,3,0,1,3.50,0,0,0,0,7,0,1,0,0,38.05,4
"No System Name","com.kpelykh.docker.client.model","AuthConfig","getEmail",1,2,8,8,60.00,0.01,1,0,0,3,0,1,2.50,0,0,0,0,5,0,1,0,0,24.00,3
"No System Name","com.kpelykh.docker.client.model","ContainerConfig","getEntrypoint",1,2,9,9,85.59,0.01,1,0,0,3,0,1,3.00,0,0,0,0,6,0,1,0,0,28.53,3
"No System Name","com.kpelykh.docker.client.model","ContainerConfig","getEnv",1,2,9,9,85.59,0.01,1,0,0,3,0,1,3.00,0,0,0,0,6,0,1,0,0,28.53,3
"No System Name","com.kpelykh.docker.client.model","ContainerInspectResponse","getExecDriver",1,2,8,8,60.00,0.01,1,0,0,3,0,1,2.50,0,0,0,0,5,0,1,0,0,24.00,3
"No System Name","com.kpelykh.docker.client.model","Info","getExecutionDriver",1,2,8,8,60.00,0.01,1,0,0,3,0,1,2.50,0,0,0,0,5,0,1,0,0,24.00,3
"No System Name","com.kpelykh.docker.client.model","ContainerConfig","getExposedPorts",1,2,12,12,172.08,0.01,3,0,0,3,0,1,4.00,0,0,0,0,8,0,1,0,0,43.02,4
"No System Name","com.kpelykh.docker.client.model","Version","getGitCommit",1,2,8,8,60.00,0.01,1,0,0,3,0,1,2.50,0,0,0,0,5,0,1,0,0,24.00,3
"No System Name","com.kpelykh.docker.client.model","Version","getGoVersion",1,2,8,8,60.00,0.01,1,0,0,3,0,1,2.50,0,0,0,0,5,0,1,0,0,24.00,3
"No System Name","com.kpelykh.docker.client.model","ContainerInspectResponse","getHostConfig",1,2,8,8,60.00,0.01,1,0,0,3,0,1,2.50,0,0,0,0,5,0,1,0,0,24.00,3
"No System Name","com.kpelykh.docker.client.model","Ports$Port","getHostIp",1,2,8,8,60.00,0.01,1,0,0,3,0,1,2.50,0,0,0,0,5,0,1,0,0,24.00,3
"No System Name","com.kpelykh.docker.client.model","ContainerConfig","getHostName",1,2,8,8,60.00,0.01,1,0,0,3,0,1,2.50,0,0,0,0,5,0,1,0,0,24.00,3
"No System Name","com.kpelykh.docker.client.model","CopyConfig","getHostPath",1,2,8,8,60.00,0.01,1,0,0,3,0,1,2.50,0,0,0,0,5,0,1,0,0,24.00,3
"No System Name","com.kpelykh.docker.client.model","Ports$Port","getHostPort",1,2,8,8,60.00,0.01,1,0,0,3,0,1,2.50,0,0,0,0,5,0,1,0,0,24.00,3
"No System Name","com.kpelykh.docker.client.model","ContainerInspectResponse","getHostnamePath",1,2,8,8,60.00,0.01,1,0,0,3,0,1,2.50,0,0,0,0,5,0,1,0,0,24.00,3
"No System Name","com.kpelykh.docker.client.model","ContainerInspectResponse","getHostsPath",1,2,8,8,60.00,0.01,1,0,0,3,0,1,2.50,0,0,0,0,5,0,1,0,0,24.00,3
"No System Name","com.kpelykh.docker.client.model","Info","getIPv4Forwarding",1,2,8,8,60.00,0.01,1,0,0,3,0,1,2.50,0,0,0,0,5,0,1,0,0,24.00,3
"No System Name","com.kpelykh.docker.client.model","Container","getId",1,2,8,8,60.00,0.01,1,0,0,3,0,1,2.50,0,0,0,0,5,0,1,0,0,24.00,3
"No System Name","com.kpelykh.docker.client.model","ContainerCreateResponse","getId",1,2,8,8,60.00,0.01,1,0,0,3,0,1,2.50,0,0,0,0,5,0,1,0,0,24.00,3
"No System Name","com.kpelykh.docker.client.model","ContainerInspectResponse","getId",1,2,8,8,60.00,0.01,1,0,0,3,0,1,2.50,0,0,0,0,5,0,1,0,0,24.00,3
"No System Name","com.kpelykh.docker.client.model","Image","getId",1,2,8,8,60.00,0.01,1,0,0,3,0,1,2.50,0,0,0,0,5,0,1,0,0,24.00,3
"No System Name","com.kpelykh.docker.client.model","ImageCreateResponse","getId",1,2,8,8,60.00,0.01,1,0,0,3,0,1,2.50,0,0,0,0,5,0,1,0,0,24.00,3
"No System Name","com.kpelykh.docker.client.model","ImageInspectResponse","getId",1,2,8,8,60.00,0.01,1,0,0,3,0,1,2.50,0,0,0,0,5,0,1,0,0,24.00,3
"No System Name","com.kpelykh.docker.client.model","Container","getImage",1,2,8,8,60.00,0.01,1,0,0,3,0,1,2.50,0,0,0,0,5,0,1,0,0,24.00,3
"No System Name","com.kpelykh.docker.client.model","ContainerConfig","getImage",1,2,8,8,60.00,0.01,1,0,0,3,0,1,2.50,0,0,0,0,5,0,1,0,0,24.00,3
"No System Name","com.kpelykh.docker.client.model","ContainerInspectResponse","getImageId",1,2,8,8,60.00,0.01,1,0,0,3,0,1,2.50,0,0,0,0,5,0,1,0,0,24.00,3
"No System Name","com.kpelykh.docker.client","DockerClient","getImages",1,2,18,16,370.29,0.02,3,0,1,3,0,1,5.14,0,0,0,0,10,1,0,0,0,72.00,8
"No System Name","com.kpelykh.docker.client.model","Info","getImages",1,2,8,8,60.00,0.01,0,0,0,3,0,1,2.50,0,0,0,0,5,0,1,0,0,24.00,3
"No System Name","com.kpelykh.docker.client","DockerClient","getImages",1,2,20,17,459.84,0.03,3,0,1,3,1,1,5.62,0,0,0,0,10,1,1,0,0,81.75,10
"No System Name","com.kpelykh.docker.client","DockerClient","getImages",1,2,20,17,459.84,0.03,4,0,1,3,1,1,5.62,0,0,0,0,10,1,1,0,0,81.75,10
"No System Name","com.kpelykh.docker.client","DockerClient","getImages",4,15,154,61,14925.21,0.30,10,11,0,21,2,1,16.34,0,1,2,3,87,1,17,0,5,913.33,67
"No System Name","com.kpelykh.docker.client.model","Info","getIndexServerAddress",1,2,8,8,60.00,0.01,1,0,0,3,0,1,2.50,0,0,0,0,5,0,1,0,0,24.00,3
"No System Name","com.kpelykh.docker.client.model","Info","getInitPath",1,2,8,8,60.00,0.01,1,0,0,3,0,1,2.50,0,0,0,0,5,0,1,0,0,24.00,3
"No System Name","com.kpelykh.docker.client.model","Info","getInitSha1",1,2,8,8,60.00,0.01,1,0,0,3,0,1,2.50,0,0,0,0,5,0,1,0,0,24.00,3
"No System Name","com.kpelykh.docker.client.model","Info","getKernelVersion",1,2,8,8,60.00,0.01,1,0,0,3,0,1,2.50,0,0,0,0,5,0,1,0,0,24.00,3
"No System Name","com.kpelykh.docker.client.model","Version","getKernelVersion",1,2,8,8,60.00,0.01,1,0,0,3,0,1,2.50,0,0,0,0,5,0,1,0,0,24.00,3
"No System Name","com.kpelykh.docker.client.model","HostConfig$LxcConf","getKey",1,2,8,8,60.00,0.01,1,0,0,3,0,1,2.50,0,0,0,0,5,0,1,0,0,24.00,3
"No System Name","com.kpelykh.docker.client.model","ChangeLog","getKind",1,2,8,8,60.00,0.01,0,0,0,3,0,1,2.50,0,0,0,0,5,0,1,0,0,24.00,3
"No System Name","com.kpelykh.docker.client.model","HostConfig","getLinks",1,2,9,9,85.59,0.01,1,0,0,3,0,1,3.00,0,0,0,0,6,0,1,0,0,28.53,3
